soup_library,celltype,repeat_id,n_genes,median_var_between_birds,median_F,F_ratio,p_global,n_sig
ra_run1,Astro-1,2,5040,0.2541838367384452,1.0224389758556218,1.2930329833735856,0.027944111776447105,0
ra_run1,Glut-CACNA1H-RA,2,9119,0.287275739575621,1.2092014634294943,1.551319237069217,0.001996007984031936,0
ra_run1,Oligo-1,2,3914,0.246813326171277,0.9830763135244327,1.2319649399308927,0.003992015968063872,0
arco_run1,GABA-2-1,3,7562,0.23950308033563195,0.9447891575605767,1.184528790892739,0.003992015968063872,0
arco_run1,GABA-4-1,3,7275,0.2318713011750335,0.9055955136023502,1.1359919248553074,0.001996007984031936,1
arco_run1,Glut-CACNA1H-1,3,8197,0.2762557249598666,1.1451105085890216,1.44527284011998,0.003992015968063872,0
arco_run1,Glut-CACNA1H-2,3,8242,0.24435101415035515,0.9700973026385875,1.2270392437106403,0.003992015968063872,0
hvc_run1,Astro-2,3,5089,0.24307363875800506,0.9633974368094149,1.2133273457274587,0.001996007984031936,0
hvc_run1,GABA-1-1,3,5822,0.22710834108315298,0.88152721054122,1.1031859530467452,0.02594810379241517,0
hvc_run1,Glut-DACH2-2,3,5853,0.23547015091604043,0.92398021293024,1.162311986400856,0.003992015968063872,0
hvc_run1,Glut-DACH2-HVCra,3,7461,0.241352760087047,0.9544070579420012,1.208893669930818,0.001996007984031936,0
hvc_run1,Glut-DACH2-HVCra-Pre,3,6705,0.237725767058866,0.935591510715111,1.1964427217951603,0.001996007984031936,0
hvc_run1,Glut-DACH2-HVCx,3,9350,0.26033247772299073,1.0558763464657832,1.3339433679572485,0.003992015968063872,0
hvc_run1,Glut-NB,3,7500,0.2216292244067452,0.8542043148899121,1.0768216183211563,0.03792415169660679,0
hvc_run1,Glut-NSC,3,7089,0.22921108533226406,0.8921161720303287,1.115681139198617,0.05189620758483034,0
lman_run1,Astro-3,3,5173,0.24561739401954252,0.9767618927280993,1.2320559705741936,0.003992015968063872,0
lman_run1,Glut-DACH2-LMANco,3,9016,0.25200636308567137,1.0107293056340778,1.2858525289875338,0.001996007984031936,0
lman_run1,Glut-DACH2-LMANsh,3,6402,0.23562766602525692,0.9247888506335116,1.166095348065675,0.003992015968063872,0
nc_run1,Astro-2,3,6097,0.26224463376848567,1.0663885853167385,1.318659500923262,0.001996007984031936,2
nc_run1,GABA-1-1,3,5737,0.264137372160316,1.0768478877739447,1.383218342091573,0.003992015968063872,0
nc_run1,GABA-1-2,3,5375,0.23822551042091838,0.9381733584405663,1.1809710418615504,0.001996007984031936,0
nc_run1,Glut-DACH2-1,3,7355,0.2313450402389226,0.9029215409375569,1.138780493245927,0.001996007984031936,0
nc_run1,Glut-DACH2-2,3,6860,0.23421334988425357,0.9175402206929655,1.1592086509393933,0.003992015968063872,0
nc_run1,Glut-DACH2-3,3,8874,0.2380607262801585,0.9373216520976998,1.1879508431011092,0.003992015968063872,0
nr_run1,Glut-DACH2-5,3,5526,0.2403628177697401,0.9492537669613015,1.18754783874967,0.005988023952095809,0
nr_run1,Glut-DACH2-6,3,7985,0.24787155336454858,0.9886804088053164,1.2299566736409397,0.003992015968063872,0
nr_run1,Glut-DACH2-7,3,6333,0.2406744082996494,0.9508743453281067,1.1969501615407034,0.001996007984031936,0
ra_run1,Astro-1,3,4932,0.2529529189529136,1.0158112771434726,1.288767972571519,0.001996007984031936,1
ra_run1,Glut-CACNA1H-RA,3,8744,0.28838946496738715,1.2157891885711252,1.5376921257667604,0.001996007984031936,0
ra_run1,Oligo-1,3,3940,0.25006765568882916,1.0003608926298093,1.267559194025978,0.003992015968063872,0
arco_run1,GABA-2-1,4,7343,0.2366508696627875,0.9300496729127578,1.1668268382188218,0.00998003992015968,0
arco_run1,GABA-4-1,4,7310,0.2313711449900344,0.903054095871872,1.1387557097613619,0.003992015968063872,0
arco_run1,Glut-CACNA1H-1,4,8210,0.2659018469242253,1.0866469798606335,1.3655157339868256,0.003992015968063872,0
arco_run1,Glut-CACNA1H-2,4,8538,0.24984783468463828,0.9991886391775713,1.268652155422556,0.001996007984031936,0
hvc_run1,Astro-2,4,5112,0.23480738671406484,0.9205815894356799,1.1595283617398042,0.001996007984031936,0
hvc_run1,GABA-1-1,4,5699,0.22874508653003095,0.8897645222156674,1.1206683485992766,0.015968063872255488,0
hvc_run1,Glut-DACH2-2,4,6062,0.2430565887169241,0.9633082118145805,1.2183548403981177,0.001996007984031936,0
hvc_run1,Glut-DACH2-HVCra,4,7146,0.24770843410755367,0.9878155578522254,1.2487657930316005,0.003992015968063872,0
hvc_run1,Glut-DACH2-HVCra-Pre,4,6463,0.24275969268675793,0.9617542423808297,1.22846693923974,0.01996007984031936,0
hvc_run1,Glut-DACH2-HVCx,4,9475,0.25892166743673295,1.0481550575409453,1.338874755154007,0.003992015968063872,0
hvc_run1,Glut-NB,4,7883,0.23315835322592546,0.9121505888736041,1.1762165574047567,0.017964071856287425,0
hvc_run1,Glut-NSC,4,7114,0.22564981828173336,0.8742161845101659,1.1097292761572377,0.17365269461077845,0
lman_run1,Astro-3,4,5233,0.24119830643566556,0.953602140643677,1.2066648965000217,0.001996007984031936,0
lman_run1,Glut-DACH2-LMANco,4,9001,0.24152829446354618,0.9553222329871254,1.214539820988879,0.00998003992015968,0
lman_run1,Glut-DACH2-LMANsh,4,6213,0.23466337308351443,0.9198437582778376,1.1543853748473332,0.005988023952095809,0
nc_run1,Astro-2,4,5887,0.27786169667310734,1.1543288677238055,1.4359886526178773,0.001996007984031936,1
nc_run1,GABA-1-1,4,6001,0.2688530279759914,1.1031422064092051,1.3898135854253602,0.00998003992015968,1
nc_run1,GABA-1-2,4,5306,0.2435803716072992,0.9660526363702653,1.2161828039040377,0.005988023952095809,0
nc_run1,Glut-DACH2-1,4,7399,0.25114483551770805,1.0061151238424026,1.2900386095291494,0.011976047904191617,2
nc_run1,Glut-DACH2-2,4,6734,0.23523524676447724,0.922774934009216,1.1631227257693975,0.003992015968063872,0
nc_run1,Glut-DACH2-3,4,8751,0.24159184145789225,0.9556536493052986,1.2064944303126686,0.001996007984031936,0
nr_run1,Glut-DACH2-5,4,5768,0.25678756032504324,1.0365309339540616,1.2900389702753918,0.001996007984031936,0
nr_run1,Glut-DACH2-6,4,8150,0.2490869587375707,0.9951363692030433,1.2552934130316356,0.001996007984031936,0
nr_run1,Glut-DACH2-7,4,6220,0.2377156471891711,0.9355392636539279,1.1814169520936741,0.007984031936127744,0
ra_run1,Astro-1,4,4804,0.2406431405290308,0.9507116656814858,1.1971190364128617,0.011976047904191617,0
ra_run1,Glut-CACNA1H-RA,4,9105,0.28484551232685784,1.194897818177623,1.524017293522216,0.005988023952095809,1
ra_run1,Oligo-1,4,3893,0.24686468968813144,0.9833479574310743,1.2321425964233976,0.003992015968063872,0
arco_run1,GABA-2-1,5,7395,0.2369738069900949,0.9317129968578366,1.1637547487602595,0.001996007984031936,0
arco_run1,GABA-4-1,5,7476,0.23006560149508112,0.8964358686200622,1.1361102292773986,0.015968063872255488,0
arco_run1,Glut-CACNA1H-1,5,8155,0.2694312996549468,1.1063899925949154,1.381016087268614,0.003992015968063872,0
arco_run1,Glut-CACNA1H-2,5,8512,0.26137565068043045,1.0616045280624307,1.3470500455785568,0.001996007984031936,0
hvc_run1,Astro-2,5,5211,0.23913145567458066,0.9428624331681089,1.17928054400993,0.003992015968063872,0
hvc_run1,GABA-1-1,5,5807,0.22748770996602644,0.883433362423355,1.1061725504430178,0.027944111776447105,0
hvc_run1,Glut-DACH2-2,5,5986,0.2349549576964196,0.9213377481537588,1.1679669455920678,0.003992015968063872,0
hvc_run1,Glut-DACH2-HVCra,5,7288,0.24123940538988253,0.9538162910919594,1.2044196683071389,0.001996007984031936,0
hvc_run1,Glut-DACH2-HVCra-Pre,5,6303,0.23583084967902787,0.9258323876852621,1.1699720779878093,0.015968063872255488,0
hvc_run1,Glut-DACH2-HVCx,5,9460,0.25961775826959343,1.0519610443644698,1.3309455017826932,0.001996007984031936,0
hvc_run1,Glut-NB,5,7605,0.21500744206813885,0.8216922819036531,1.040333746454762,0.26147704590818366,0
hvc_run1,Glut-NSC,5,7292,0.22947378424108367,0.8934431660600826,1.1290890417146813,0.013972055888223553,0
lman_run1,Astro-3,5,5122,0.2432124113020588,0.9641242113775008,1.2148998528970503,0.005988023952095809,0
lman_run1,Glut-DACH2-LMANco,5,8923,0.2538731054332052,1.0207637894380095,1.2879149224639908,0.001996007984031936,0
lman_run1,Glut-DACH2-LMANsh,5,6036,0.22822325458053064,0.8871345057743545,1.1117370750554991,0.005988023952095809,0
nc_run1,Astro-2,5,5915,0.27091938296775425,1.1147713022623342,1.3721619412999344,0.00998003992015968,1
nc_run1,GABA-1-1,5,6046,0.2736183382674982,1.1300602122094647,1.422264952466045,0.007984031936127744,2
nc_run1,GABA-1-2,5,5224,0.23527447614423874,0.9229761761347623,1.163406800348945,0.021956087824351298,0
nc_run1,Glut-DACH2-1,5,7309,0.23093994859632297,0.9008657315179023,1.1347992416101356,0.001996007984031936,0
nc_run1,Glut-DACH2-2,5,6766,0.23243956713326952,0.9084870753697285,1.1418700871283693,0.005988023952095809,0
nc_run1,Glut-DACH2-3,5,8899,0.255821328228921,1.0312899493078282,1.303222734053439,0.005988023952095809,0
nr_run1,Glut-DACH2-5,5,5854,0.23512034015021027,0.9221856166462934,1.1604752044142523,0.005988023952095809,0
nr_run1,Glut-DACH2-6,5,8029,0.25873146015933607,1.0471163131310706,1.3217997255884977,0.001996007984031936,0
nr_run1,Glut-DACH2-7,5,6182,0.23724384528840572,0.9331049406783462,1.1737555809183995,0.001996007984031936,0
ra_run1,Astro-1,5,4960,0.2424438407083322,0.960102717293692,1.2144557444312387,0.00998003992015968,0
ra_run1,Glut-CACNA1H-RA,5,8926,0.2881465627600567,1.2143506623610856,1.5414138794677565,0.001996007984031936,0
ra_run1,Oligo-1,5,3994,0.24379013395810203,0.9671527040298036,1.2095300899930606,0.003992015968063872,0
