region,reduction,soup_batch,celltype_hybrid,n_cells,n_birds,bird_var_ratio
nido,dims10nn30mindist0.5,batch2,Glut-DACH2-LMANco,684,3,0.016550106376795992
nido,dims10nn30mindist0.5,batch2,Glut-DACH2-LMANsh,1172,3,0.010178658277131047
nido,dims10nn30mindist0.5,batch2,Glut-Im,668,3,0.008475296356099893
nido,dims10nn30mindist0.5,batch2,Glut-NB,67,3,0.023234655541849225
nido,dims10nn40mindist0.3,batch1,Glut-DACH2-1,2345,3,0.014978321100158065
nido,dims10nn40mindist0.3,batch1,Glut-DACH2-2,959,3,0.01203218412610263
nido,dims10nn40mindist0.3,batch1,Glut-DACH2-3,724,3,0.007447236753607034
nido,dims10nn40mindist0.3,batch1,Glut-DACH2-4,260,3,0.0048649118453178986
nido,dims10nn40mindist0.3,batch1,Glut-DACH2-5,149,3,0.011518238498566813
nido,dims10nn40mindist0.3,batch1,Glut-DACH2-HVCra,3017,3,0.004610694014011929
nido,dims10nn40mindist0.3,batch1,Glut-DACH2-HVCra-Int,692,3,0.014535328540235537
nido,dims10nn40mindist0.3,batch1,Glut-DACH2-HVCx,342,3,0.012246939623396291
nido,dims10nn40mindist0.3,batch1,Glut-Im,432,3,0.007843461081998848
nido,dims10nn40mindist0.3,batch1,Glut-NB,556,3,0.015322518448831368
nido,dims10nn40mindist0.3,batch2,Glut-DACH2-1,216,3,0.06550090224642113
nido,dims10nn40mindist0.3,batch2,Glut-DACH2-5,1032,3,0.04991787563102157
nido,dims10nn40mindist0.3,batch2,Glut-DACH2-6,903,3,0.06880281804127242
nido,dims10nn40mindist0.3,batch2,Glut-DACH2-7,829,3,0.0142866226196241
nido,dims10nn40mindist0.3,batch2,Glut-DACH2-8,670,3,0.06300754696743527
nido,dims10nn40mindist0.3,batch2,Glut-DACH2-LMANco,684,3,0.015943536495127364
nido,dims10nn40mindist0.3,batch2,Glut-DACH2-LMANsh,1172,3,0.00987913178857236
nido,dims10nn40mindist0.3,batch2,Glut-Im,668,3,0.006077487250332414
nido,dims10nn40mindist0.3,batch2,Glut-NB,67,3,0.023094322197798167
nido,dims10nn40mindist0.4,batch1,Glut-DACH2-1,2345,3,0.012994932293587391
nido,dims10nn40mindist0.4,batch1,Glut-DACH2-2,959,3,0.0062614769052844466
nido,dims10nn40mindist0.4,batch1,Glut-DACH2-3,724,3,0.007585550985540701
nido,dims10nn40mindist0.4,batch1,Glut-DACH2-4,260,3,0.0027753066104896362
nido,dims10nn40mindist0.4,batch1,Glut-DACH2-5,149,3,0.003929434810878041
nido,dims10nn40mindist0.4,batch1,Glut-DACH2-HVCra,3017,3,0.0048121417356130625
nido,dims10nn40mindist0.4,batch1,Glut-DACH2-HVCra-Int,692,3,0.01631603943544857
nido,dims10nn40mindist0.4,batch1,Glut-DACH2-HVCx,342,3,0.011692010458484559
nido,dims10nn40mindist0.4,batch1,Glut-Im,432,3,0.006699427911793565
nido,dims10nn40mindist0.4,batch1,Glut-NB,556,3,0.014915699803441318
nido,dims10nn40mindist0.4,batch2,Glut-DACH2-1,216,3,0.0481537462238405
nido,dims10nn40mindist0.4,batch2,Glut-DACH2-5,1032,3,0.04179949042590869
nido,dims10nn40mindist0.4,batch2,Glut-DACH2-6,903,3,0.07274954315091586
nido,dims10nn40mindist0.4,batch2,Glut-DACH2-7,829,3,0.009360731898445551
nido,dims10nn40mindist0.4,batch2,Glut-DACH2-8,670,3,0.06258160040760463
nido,dims10nn40mindist0.4,batch2,Glut-DACH2-LMANco,684,3,0.013734599680125803
nido,dims10nn40mindist0.4,batch2,Glut-DACH2-LMANsh,1172,3,0.010568419052545464
nido,dims10nn40mindist0.4,batch2,Glut-Im,668,3,0.008238319942243888
nido,dims10nn40mindist0.4,batch2,Glut-NB,67,3,0.030441691916023972
nido,dims10nn40mindist0.5,batch1,Glut-DACH2-1,2345,3,0.013615988832839654
nido,dims10nn40mindist0.5,batch1,Glut-DACH2-2,959,3,0.008363967078318102
nido,dims10nn40mindist0.5,batch1,Glut-DACH2-3,724,3,0.007425443757358763
nido,dims10nn40mindist0.5,batch1,Glut-DACH2-4,260,3,0.0018921921692908183
nido,dims10nn40mindist0.5,batch1,Glut-DACH2-5,149,3,0.0032424907641215306
nido,dims10nn40mindist0.5,batch1,Glut-DACH2-HVCra,3017,3,0.0049398665869198055
nido,dims10nn40mindist0.5,batch1,Glut-DACH2-HVCra-Int,692,3,0.019124078298226932
nido,dims10nn40mindist0.5,batch1,Glut-DACH2-HVCx,342,3,0.01154701512599099
nido,dims10nn40mindist0.5,batch1,Glut-Im,432,3,0.006945264114967764
nido,dims10nn40mindist0.5,batch1,Glut-NB,556,3,0.014258545941096101
nido,dims10nn40mindist0.5,batch2,Glut-DACH2-1,216,3,0.048172053534623616
nido,dims10nn40mindist0.5,batch2,Glut-DACH2-5,1032,3,0.05288924242840276
nido,dims10nn40mindist0.5,batch2,Glut-DACH2-6,903,3,0.06884296558979708
nido,dims10nn40mindist0.5,batch2,Glut-DACH2-7,829,3,0.009674647164809591
nido,dims10nn40mindist0.5,batch2,Glut-DACH2-8,670,3,0.06866832022766989
nido,dims10nn40mindist0.5,batch2,Glut-DACH2-LMANco,684,3,0.013399044242466296
nido,dims10nn40mindist0.5,batch2,Glut-DACH2-LMANsh,1172,3,0.011095958783262971
nido,dims10nn40mindist0.5,batch2,Glut-Im,668,3,0.007411612567056247
nido,dims10nn40mindist0.5,batch2,Glut-NB,67,3,0.038829295125384244
nido,dims10nn50mindist0.3,batch1,Glut-DACH2-1,2345,3,0.00492916188995185
nido,dims10nn50mindist0.3,batch1,Glut-DACH2-2,959,3,0.012968044930779743
nido,dims10nn50mindist0.3,batch1,Glut-DACH2-3,724,3,0.006175400936647146
nido,dims10nn50mindist0.3,batch1,Glut-DACH2-4,260,3,0.004743189665713188
nido,dims10nn50mindist0.3,batch1,Glut-DACH2-5,149,3,0.013331699824555177
nido,dims10nn50mindist0.3,batch1,Glut-DACH2-HVCra,3017,3,0.004894563144908659
nido,dims10nn50mindist0.3,batch1,Glut-DACH2-HVCra-Int,692,3,0.01333083678027902
nido,dims10nn50mindist0.3,batch1,Glut-DACH2-HVCx,342,3,0.010066902266703481
nido,dims10nn50mindist0.3,batch1,Glut-Im,432,3,0.0047570059564669975
nido,dims10nn50mindist0.3,batch1,Glut-NB,556,3,0.01653237867048918
nido,dims10nn50mindist0.3,batch2,Glut-DACH2-1,216,3,0.059181203053843445
nido,dims10nn50mindist0.3,batch2,Glut-DACH2-5,1032,3,0.06097028363338508
nido,dims10nn50mindist0.3,batch2,Glut-DACH2-6,903,3,0.06120476291793442
nido,dims10nn50mindist0.3,batch2,Glut-DACH2-7,829,3,0.009730442768360548
nido,dims10nn50mindist0.3,batch2,Glut-DACH2-8,670,3,0.06872536030352361
nido,dims10nn50mindist0.3,batch2,Glut-DACH2-LMANco,684,3,0.014631744678436864
nido,dims10nn50mindist0.3,batch2,Glut-DACH2-LMANsh,1172,3,0.00926816318015411
nido,dims10nn50mindist0.3,batch2,Glut-Im,668,3,0.008249487702704617
nido,dims10nn50mindist0.3,batch2,Glut-NB,67,3,0.019808446958030745
nido,dims10nn50mindist0.4,batch1,Glut-DACH2-1,2345,3,0.01082174580289419
