file,roi_type,section_id,x,y
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3287.51318359375,7454.03955078125
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3495.912841796875,7445.5185546875
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3710.47998046875,7313.7099609375
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3804.78759765625,7209.14892578125
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3837.716552734375,7156.0498046875
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3846.404052734375,7120.65087890625
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3848.31005859375,7103.85107421875
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,4227.375,776.16168212890625
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,4223.7099609375,762.0479736328125
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,4113.17529296875,605.0338134765625
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3956.72265625,475.0315246582031
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3839.1513671875,415.6005554199219
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3809.225830078125,404.3831176757813
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3801.931884765625,403.7620239257813
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3365.4404296875,396.5038757324219
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3310.478759765625,399.1054382324219
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3260.70458984375,404.66009521484375
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3244.473388671875,408.703369140625
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3244.831787109375,975.013916015625
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3245.55712890625,1121.37451171875
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3247.843017578125,1320.2169189453125
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3269.3125,1389.414306640625
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,3826.162109375,1388.8941650390625
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,4080.93603515625,1387.799072265625
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,4174.83740234375,1386.76123046875
