mouse_label,n_cells,Class,Subclass,neurotransmitter,region,roi,region_spread,roi_spread,description
1167 Astro-OLF NN_2,250,30 Astro-Epen,320 Astro-OLF NN,nan,OLF,OLF,OLF 98%; STR 2%; PAL 0%,OLF 98%; LSX 1%; sAMY 0%,30 Astro-Epen / 320 Astro-OLF NN; NT none; OLF
1166 Astro-OLF NN_1,250,30 Astro-Epen,320 Astro-OLF NN,nan,OLF,OLF,OLF 99%; PAL 1%,OLF 99%; PAL 1%,30 Astro-Epen / 320 Astro-OLF NN; NT none; OLF
1165 Astro-TE NN_5,250,30 Astro-Epen,319 Astro-TE NN,nan,STR,STRd,STR 74%; OLF 21%; PAL 2%,STRd 38%; STRv 26%; OLF 21%,30 Astro-Epen / 319 Astro-TE NN; NT none; STRd
1164 Astro-TE NN_4,250,30 Astro-Epen,319 Astro-TE NN,nan,CTXsp,CTXsp,CTXsp 77%; STR 11%; HPF 8%,CTXsp 77%; sAMY 9%; ENT 4%,30 Astro-Epen / 319 Astro-TE NN; NT none; CTXsp
1163 Astro-TE NN_3,250,30 Astro-Epen,319 Astro-TE NN,nan,Isocortex-2,CTXsp,Isocortex-2 31%; HPF 28%; STR 18%,CTXsp 14%; HIP 12%; ENT 9%,30 Astro-Epen / 319 Astro-TE NN; NT none; CTXsp
1162 Astro-TE NN_2,250,30 Astro-Epen,319 Astro-TE NN,nan,HPF,HIP,HPF 99%; Isocortex-1 0%; STR 0%,HIP 88%; RHP 11%; VIS-PTLp 0%,30 Astro-Epen / 319 Astro-TE NN; NT none; HIP
0330 LSX Prdm12 Zeb2 Gaba_5,250,10 LSX GABA,071 LSX Prdm12 Zeb2 Gaba,GABA,STR,LSX,STR 100%,LSX 100%,10 LSX GABA / 071 LSX Prdm12 Zeb2 Gaba; NT GABA; LSX
0329 LSX Prdm12 Zeb2 Gaba_4,250,10 LSX GABA,071 LSX Prdm12 Zeb2 Gaba,GABA,STR,LSX,STR 100%; PAL 0%,LSX 100%; PAL 0%,10 LSX GABA / 071 LSX Prdm12 Zeb2 Gaba; NT GABA; LSX
0328 LSX Prdm12 Zeb2 Gaba_3,250,10 LSX GABA,071 LSX Prdm12 Zeb2 Gaba,GABA,STR,LSX,STR 98%; PAL 2%,LSX 97%; PAL 2%; STRv 1%,10 LSX GABA / 071 LSX Prdm12 Zeb2 Gaba; NT GABA; LSX
0373 CEA-AAA-BST Six3 Sp9 Gaba_1,250,11 CNU-HYa GABA,080 CEA-AAA-BST Six3 Sp9 Gaba,GABA,STR,sAMY,STR 80%; PAL 16%; CTXsp 4%,sAMY 80%; PAL 16%; CTXsp 4%,11 CNU-HYa GABA / 080 CEA-AAA-BST Six3 Sp9 Gaba; NT GABA; sAMY
0358 MEA-BST Lhx6 Nfib Gaba_2,250,11 CNU-HYa GABA,076 MEA-BST Lhx6 Nfib Gaba,GABA,STR,sAMY,STR 85%; PAL 14%; CTXsp 1%,sAMY 85%; PAL 14%; CTXsp 1%,11 CNU-HYa GABA / 076 MEA-BST Lhx6 Nfib Gaba; NT GABA; sAMY
0357 MEA-BST Lhx6 Nfib Gaba_1,250,11 CNU-HYa GABA,076 MEA-BST Lhx6 Nfib Gaba,GABA,PAL,PAL,PAL 51%; STR 47%; CTXsp 2%,PAL 51%; sAMY 47%; CTXsp 2%,11 CNU-HYa GABA / 076 MEA-BST Lhx6 Nfib Gaba; NT GABA; PAL
0355 MEA-BST Lhx6 Nr2e1 Gaba_2,250,11 CNU-HYa GABA,075 MEA-BST Lhx6 Nr2e1 Gaba,GABA,STR,sAMY,STR 74%; PAL 17%; CTXsp 8%,sAMY 74%; PAL 17%; CTXsp 8%,11 CNU-HYa GABA / 075 MEA-BST Lhx6 Nr2e1 Gaba; NT GABA; sAMY
0354 MEA-BST Lhx6 Nr2e1 Gaba_1,250,11 CNU-HYa GABA,075 MEA-BST Lhx6 Nr2e1 Gaba,GABA,STR,sAMY,STR 94%; PAL 6%; CTXsp 0%,sAMY 94%; PAL 6%; CTXsp 0%,11 CNU-HYa GABA / 075 MEA-BST Lhx6 Nr2e1 Gaba; NT GABA; sAMY
0353 MEA-BST Lhx6 Sp9 Gaba_7,250,11 CNU-HYa GABA,074 MEA-BST Lhx6 Sp9 Gaba,GABA,PAL,PAL,PAL 69%; STR 31%; Isocortex-1 0%,PAL 69%; sAMY 31%; AI 0%,11 CNU-HYa GABA / 074 MEA-BST Lhx6 Sp9 Gaba; NT GABA; PAL
0352 MEA-BST Lhx6 Sp9 Gaba_6,250,11 CNU-HYa GABA,074 MEA-BST Lhx6 Sp9 Gaba,GABA,STR,sAMY,STR 74%; PAL 26%; CTXsp 0%,sAMY 74%; PAL 26%; LSX 0%,11 CNU-HYa GABA / 074 MEA-BST Lhx6 Sp9 Gaba; NT GABA; sAMY
0351 MEA-BST Lhx6 Sp9 Gaba_5,250,11 CNU-HYa GABA,074 MEA-BST Lhx6 Sp9 Gaba,GABA,STR,sAMY,STR 91%; PAL 6%; CTXsp 2%,sAMY 91%; PAL 6%; CTXsp 2%,11 CNU-HYa GABA / 074 MEA-BST Lhx6 Sp9 Gaba; NT GABA; sAMY
0319 LSX Prdm12 Slit2 Gaba_3,250,10 LSX GABA,070 LSX Prdm12 Slit2 Gaba,GABA,STR,LSX,STR 99%; PAL 1%,LSX 99%; PAL 1%,10 LSX GABA / 070 LSX Prdm12 Slit2 Gaba; NT GABA; LSX
0318 LSX Prdm12 Slit2 Gaba_2,250,10 LSX GABA,070 LSX Prdm12 Slit2 Gaba,GABA,STR,LSX,STR 100%,LSX 100%,10 LSX GABA / 070 LSX Prdm12 Slit2 Gaba; NT GABA; LSX
0317 LSX Prdm12 Slit2 Gaba_1,250,10 LSX GABA,070 LSX Prdm12 Slit2 Gaba,GABA,STR,LSX,STR 98%; PAL 1%; Isocortex-1 0%,LSX 97%; PAL 1%; STRv 1%,10 LSX GABA / 070 LSX Prdm12 Slit2 Gaba; NT GABA; LSX
0316 LSX Nkx2-1 Gaba_11,250,10 LSX GABA,069 LSX Nkx2-1 Gaba,GABA,STR,LSX,STR 99%; PAL 1%; OLF 0%,LSX 99%; PAL 1%; OLF 0%,10 LSX GABA / 069 LSX Nkx2-1 Gaba; NT GABA; LSX
0327 LSX Prdm12 Zeb2 Gaba_2,250,10 LSX GABA,071 LSX Prdm12 Zeb2 Gaba,GABA,STR,LSX,STR 99%; PAL 1%,LSX 99%; PAL 1%,10 LSX GABA / 071 LSX Prdm12 Zeb2 Gaba; NT GABA; LSX
0020 L5 IT CTX Glut_3,250,01 IT-ET Glut,005 L5 IT CTX Glut,Glut,Isocortex-2,MOp,Isocortex-2 79%; Isocortex-1 21%,MOp 80%; MO-FRP 8%; SS-GU-VISC 6%,01 IT-ET Glut / 005 L5 IT CTX Glut; NT Glut; MOp
0019 L5 IT CTX Glut_2,250,01 IT-ET Glut,005 L5 IT CTX Glut,Glut,Isocortex-1,ACA,Isocortex-1 83%; Isocortex-2 16%; HPF 1%,ACA 50%; RSP 46%; VIS-PTLp 2%,01 IT-ET Glut / 005 L5 IT CTX Glut; NT Glut; ACA
0018 L5 IT CTX Glut_1,250,01 IT-ET Glut,005 L5 IT CTX Glut,Glut,Isocortex-2,PL-ILA-ORB,Isocortex-2 58%; Isocortex-1 42%; HPF 0%,PL-ILA-ORB 20%; ACA 16%; MOp 15%,01 IT-ET Glut / 005 L5 IT CTX Glut; NT Glut; PL-ILA-ORB
0017 L6 IT CTX Glut_5,250,01 IT-ET Glut,004 L6 IT CTX Glut,Glut,Isocortex-1,ACA,Isocortex-1 59%; Isocortex-2 37%; CTXsp 4%,ACA 55%; PL-ILA-ORB 12%; MO-FRP 8%,01 IT-ET Glut / 004 L6 IT CTX Glut; NT Glut; ACA
0047 IT AON-TT-DP Glut_2,250,01 IT-ET Glut,010 IT AON-TT-DP Glut,Glut,OLF,OLF,OLF 81%; STR 16%; Isocortex-1 1%,OLF 81%; STRv 16%; ACA 1%,01 IT-ET Glut / 010 IT AON-TT-DP Glut; NT Glut; OLF
0425 BST-MPN Six3 Nrgn Gaba_6,250,11 CNU-HYa GABA,090 BST-MPN Six3 Nrgn Gaba,GABA,STR,sAMY,STR 72%; PAL 28%,sAMY 72%; PAL 28%,11 CNU-HYa GABA / 090 BST-MPN Six3 Nrgn Gaba; NT GABA; sAMY
0424 BST-MPN Six3 Nrgn Gaba_5,250,11 CNU-HYa GABA,090 BST-MPN Six3 Nrgn Gaba,GABA,PAL,PAL,PAL 64%; STR 36%; OLF 0%,PAL 64%; LSX 28%; sAMY 8%,11 CNU-HYa GABA / 090 BST-MPN Six3 Nrgn Gaba; NT GABA; PAL
0410 BST Tac2 Gaba_2,250,11 CNU-HYa GABA,088 BST Tac2 Gaba,GABA,PAL,PAL,PAL 86%; STR 14%,PAL 86%; sAMY 14%,11 CNU-HYa GABA / 088 BST Tac2 Gaba; NT GABA; PAL
0409 BST Tac2 Gaba_1,250,11 CNU-HYa GABA,088 BST Tac2 Gaba,GABA,PAL,PAL,PAL 81%; STR 19%,PAL 81%; sAMY 19%,11 CNU-HYa GABA / 088 BST Tac2 Gaba; NT GABA; PAL
0407 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,250,11 CNU-HYa GABA,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,GABA,PAL,PAL,PAL 70%; STR 30%,PAL 70%; sAMY 29%; LSX 1%,11 CNU-HYa GABA / 087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba; NT GABA; PAL
1169 Astroependymal NN_1,250,30 Astro-Epen,321 Astroependymal NN,nan,STR,LSX,STR 60%; PAL 25%; HPF 14%,LSX 59%; PAL 25%; HIP 14%,30 Astro-Epen / 321 Astroependymal NN; NT none; LSX
1194 Microglia NN_1,250,34 Immune,334 Microglia NN,nan,Isocortex-2,HIP,Isocortex-2 33%; HPF 24%; STR 15%,HIP 12%; CTXsp 12%; ENT 9%,34 Immune / 334 Microglia NN; NT none; HIP
1193 Endo NN_1,250,33 Vascular,333 Endo NN,nan,Isocortex-2,ENT,Isocortex-2 40%; HPF 24%; STR 9%,ENT 10%; RSP 9%; MO-FRP 9%,33 Vascular / 333 Endo NN; NT none; ENT
1192 SMC NN_1,250,33 Vascular,332 SMC NN,nan,Isocortex-2,sAMY,Isocortex-2 30%; HPF 24%; STR 20%,sAMY 10%; SS-GU-VISC 9%; HIP 9%,33 Vascular / 332 SMC NN; NT none; sAMY
1187 VLMC NN_1,250,33 Vascular,330 VLMC NN,nan,HPF,ENT,HPF 39%; Isocortex-1 23%; Isocortex-2 22%,ENT 28%; MO-FRP 12%; RHP 11%,33 Vascular / 330 VLMC NN; NT none; ENT
1186 ABC NN_1,250,33 Vascular,329 ABC NN,nan,HPF,ENT,HPF 51%; Isocortex-1 36%; OLF 9%,ENT 44%; OLF 9%; SS-GU-VISC 8%,33 Vascular / 329 ABC NN; NT none; ENT
1183 MFOL NN_3,250,31 OPC-Oligo,327 Oligo NN,nan,PAL,PAL,PAL 26%; STR 22%; Isocortex-2 22%,PAL 26%; CTXsp 10%; sAMY 9%,31 OPC-Oligo / 327 Oligo NN; NT none; PAL
1182 NFOL NN_2,250,31 OPC-Oligo,327 Oligo NN,nan,STR,PAL,STR 23%; PAL 18%; Isocortex-1 17%,PAL 18%; CTXsp 10%; OLF 8%,31 OPC-Oligo / 327 Oligo NN; NT none; PAL
1181 COP NN_1,250,31 OPC-Oligo,327 Oligo NN,nan,STR,PAL,STR 22%; Isocortex-2 22%; HPF 16%,PAL 14%; CTXsp 14%; sAMY 11%,31 OPC-Oligo / 327 Oligo NN; NT none; PAL
1180 OPC NN_2,250,31 OPC-Oligo,326 OPC NN,nan,STR,PAL,STR 22%; HPF 21%; Isocortex-1 20%,PAL 16%; HIP 12%; CTXsp 11%,31 OPC-Oligo / 326 OPC NN; NT none; PAL
1179 OPC NN_1,250,31 OPC-Oligo,326 OPC NN,nan,Isocortex-2,sAMY,Isocortex-2 27%; STR 27%; HPF 20%,sAMY 16%; PAL 11%; CTXsp 10%,31 OPC-Oligo / 326 OPC NN; NT none; sAMY
1175 Ependymal NN_1,250,30 Astro-Epen,323 Ependymal NN,nan,STR,LSX,STR 83%; CTXsp 6%; PAL 4%,LSX 63%; STRd 12%; sAMY 8%,30 Astro-Epen / 323 Ependymal NN; NT none; LSX
1195 BAM NN_1,250,34 Immune,335 BAM NN,nan,Isocortex-2,HIP,Isocortex-2 32%; HPF 30%; STR 16%,HIP 14%; ENT 9%; AI 8%,34 Immune / 335 BAM NN; NT none; HIP
0321 LSX Prdm12 Slit2 Gaba_5,250,10 LSX GABA,070 LSX Prdm12 Slit2 Gaba,GABA,STR,LSX,STR 99%; PAL 1%,LSX 98%; STRv 1%; PAL 1%,10 LSX GABA / 070 LSX Prdm12 Slit2 Gaba; NT GABA; LSX
0320 LSX Prdm12 Slit2 Gaba_4,250,10 LSX GABA,070 LSX Prdm12 Slit2 Gaba,GABA,STR,LSX,STR 98%; OLF 2%,LSX 98%; OLF 2%,10 LSX GABA / 070 LSX Prdm12 Slit2 Gaba; NT GABA; LSX
0515 COAa-PAA-MEA Barhl2 Glut_7,250,13 CNU-HYa Glut,114 COAa-PAA-MEA Barhl2 Glut,Glut,STR,sAMY,STR 94%; PAL 4%; OLF 1%,sAMY 94%; PAL 4%; OLF 1%,13 CNU-HYa Glut / 114 COAa-PAA-MEA Barhl2 Glut; NT Glut; sAMY
0514 COAa-PAA-MEA Barhl2 Glut_6,250,13 CNU-HYa Glut,114 COAa-PAA-MEA Barhl2 Glut,Glut,CTXsp,CTXsp,CTXsp 71%; OLF 23%; STR 4%,CTXsp 71%; OLF 23%; sAMY 4%,13 CNU-HYa Glut / 114 COAa-PAA-MEA Barhl2 Glut; NT Glut; CTXsp
0511 COAa-PAA-MEA Barhl2 Glut_3,250,13 CNU-HYa Glut,114 COAa-PAA-MEA Barhl2 Glut,Glut,STR,sAMY,STR 98%; OLF 2%; CTXsp 0%,sAMY 98%; OLF 2%; CTXsp 0%,13 CNU-HYa Glut / 114 COAa-PAA-MEA Barhl2 Glut; NT Glut; sAMY
0509 COAa-PAA-MEA Barhl2 Glut_1,250,13 CNU-HYa Glut,114 COAa-PAA-MEA Barhl2 Glut,Glut,STR,sAMY,STR 82%; OLF 11%; CTXsp 6%,sAMY 82%; OLF 11%; CTXsp 6%,13 CNU-HYa Glut / 114 COAa-PAA-MEA Barhl2 Glut; NT Glut; sAMY
0508 MEA-COA-BMA Ccdc42 Glut_4,250,13 CNU-HYa Glut,113 MEA-COA-BMA Ccdc42 Glut,Glut,STR,sAMY,STR 92%; OLF 6%; CTXsp 2%,sAMY 92%; OLF 6%; CTXsp 2%,13 CNU-HYa Glut / 113 MEA-COA-BMA Ccdc42 Glut; NT Glut; sAMY
0507 MEA-COA-BMA Ccdc42 Glut_3,250,13 CNU-HYa Glut,113 MEA-COA-BMA Ccdc42 Glut,Glut,STR,sAMY,STR 98%; CTXsp 1%; PAL 0%,sAMY 98%; CTXsp 1%; PAL 0%,13 CNU-HYa Glut / 113 MEA-COA-BMA Ccdc42 Glut; NT Glut; sAMY
0505 MEA-COA-BMA Ccdc42 Glut_1,250,13 CNU-HYa Glut,113 MEA-COA-BMA Ccdc42 Glut,Glut,CTXsp,CTXsp,CTXsp 80%; STR 15%; OLF 4%,CTXsp 80%; sAMY 15%; OLF 4%,13 CNU-HYa Glut / 113 MEA-COA-BMA Ccdc42 Glut; NT Glut; CTXsp
0502 TRS-BAC Sln Glut_1,250,13 CNU-HYa Glut,111 TRS-BAC Sln Glut,Glut,STR,LSX,STR 54%; PAL 46%,LSX 54%; PAL 46%,13 CNU-HYa Glut / 111 TRS-BAC Sln Glut; NT Glut; LSX
0315 LSX Nkx2-1 Gaba_10,250,10 LSX GABA,069 LSX Nkx2-1 Gaba,GABA,STR,LSX,STR 99%; PAL 1%,LSX 99%; PAL 1%,10 LSX GABA / 069 LSX Nkx2-1 Gaba; NT GABA; LSX
0309 LSX Nkx2-1 Gaba_4,250,10 LSX GABA,069 LSX Nkx2-1 Gaba,GABA,STR,LSX,STR 97%; PAL 3%,LSX 97%; PAL 3%,10 LSX GABA / 069 LSX Nkx2-1 Gaba; NT GABA; LSX
0308 LSX Nkx2-1 Gaba_3,250,10 LSX GABA,069 LSX Nkx2-1 Gaba,GABA,STR,LSX,STR 82%; PAL 18%,LSX 82%; PAL 18%,10 LSX GABA / 069 LSX Nkx2-1 Gaba; NT GABA; LSX
0350 MEA-BST Lhx6 Sp9 Gaba_4,250,11 CNU-HYa GABA,074 MEA-BST Lhx6 Sp9 Gaba,GABA,STR,sAMY,STR 98%; PAL 1%; OLF 0%,sAMY 98%; PAL 1%; OLF 0%,11 CNU-HYa GABA / 074 MEA-BST Lhx6 Sp9 Gaba; NT GABA; sAMY
0349 MEA-BST Lhx6 Sp9 Gaba_3,250,11 CNU-HYa GABA,074 MEA-BST Lhx6 Sp9 Gaba,GABA,STR,sAMY,STR 93%; PAL 5%; CTXsp 2%,sAMY 93%; PAL 5%; CTXsp 2%,11 CNU-HYa GABA / 074 MEA-BST Lhx6 Sp9 Gaba; NT GABA; sAMY
0348 MEA-BST Lhx6 Sp9 Gaba_2,250,11 CNU-HYa GABA,074 MEA-BST Lhx6 Sp9 Gaba,GABA,PAL,PAL,PAL 51%; STR 49%,PAL 51%; sAMY 47%; LSX 2%,11 CNU-HYa GABA / 074 MEA-BST Lhx6 Sp9 Gaba; NT GABA; PAL
0347 MEA-BST Lhx6 Sp9 Gaba_1,250,11 CNU-HYa GABA,074 MEA-BST Lhx6 Sp9 Gaba,GABA,STR,sAMY,STR 96%; PAL 4%,sAMY 96%; PAL 4%,11 CNU-HYa GABA / 074 MEA-BST Lhx6 Sp9 Gaba; NT GABA; sAMY
0346 MEA-BST Sox6 Gaba_10,250,11 CNU-HYa GABA,073 MEA-BST Sox6 Gaba,GABA,STR,sAMY,STR 61%; PAL 32%; CTXsp 6%,sAMY 61%; PAL 32%; CTXsp 6%,11 CNU-HYa GABA / 073 MEA-BST Sox6 Gaba; NT GABA; sAMY
0345 MEA-BST Sox6 Gaba_9,250,11 CNU-HYa GABA,073 MEA-BST Sox6 Gaba,GABA,STR,sAMY,STR 85%; OLF 6%; PAL 4%,sAMY 85%; OLF 6%; PAL 4%,11 CNU-HYa GABA / 073 MEA-BST Sox6 Gaba; NT GABA; sAMY
0344 MEA-BST Sox6 Gaba_8,250,11 CNU-HYa GABA,073 MEA-BST Sox6 Gaba,GABA,STR,sAMY,STR 98%; PAL 2%; CTXsp 1%,sAMY 98%; PAL 2%; CTXsp 1%,11 CNU-HYa GABA / 073 MEA-BST Sox6 Gaba; NT GABA; sAMY
0343 MEA-BST Sox6 Gaba_7,250,11 CNU-HYa GABA,073 MEA-BST Sox6 Gaba,GABA,STR,sAMY,STR 81%; PAL 19%,sAMY 81%; PAL 19%,11 CNU-HYa GABA / 073 MEA-BST Sox6 Gaba; NT GABA; sAMY
0374 CEA-AAA-BST Six3 Sp9 Gaba_2,250,11 CNU-HYa GABA,080 CEA-AAA-BST Six3 Sp9 Gaba,GABA,STR,sAMY,STR 71%; PAL 19%; CTXsp 9%,sAMY 70%; PAL 19%; CTXsp 9%,11 CNU-HYa GABA / 080 CEA-AAA-BST Six3 Sp9 Gaba; NT GABA; sAMY
0310 LSX Nkx2-1 Gaba_5,250,10 LSX GABA,069 LSX Nkx2-1 Gaba,GABA,STR,LSX,STR 100%; PAL 0%,LSX 100%; PAL 0%,10 LSX GABA / 069 LSX Nkx2-1 Gaba; NT GABA; LSX
0314 LSX Nkx2-1 Gaba_9,250,10 LSX GABA,069 LSX Nkx2-1 Gaba,GABA,STR,LSX,STR 98%; PAL 2%,LSX 98%; PAL 2%,10 LSX GABA / 069 LSX Nkx2-1 Gaba; NT GABA; LSX
0312 LSX Nkx2-1 Gaba_7,250,10 LSX GABA,069 LSX Nkx2-1 Gaba,GABA,STR,LSX,STR 96%; PAL 4%,LSX 96%; PAL 4%,10 LSX GABA / 069 LSX Nkx2-1 Gaba; NT GABA; LSX
0311 LSX Nkx2-1 Gaba_6,250,10 LSX GABA,069 LSX Nkx2-1 Gaba,GABA,STR,LSX,STR 98%; PAL 2%,LSX 98%; PAL 2%,10 LSX GABA / 069 LSX Nkx2-1 Gaba; NT GABA; LSX
0342 MEA-BST Sox6 Gaba_6,250,11 CNU-HYa GABA,073 MEA-BST Sox6 Gaba,GABA,STR,sAMY,STR 96%; CTXsp 2%; PAL 1%,sAMY 96%; CTXsp 2%; PAL 1%,11 CNU-HYa GABA / 073 MEA-BST Sox6 Gaba; NT GABA; sAMY
0341 MEA-BST Sox6 Gaba_5,250,11 CNU-HYa GABA,073 MEA-BST Sox6 Gaba,GABA,STR,sAMY,STR 90%; PAL 6%; OLF 4%,sAMY 89%; PAL 6%; OLF 4%,11 CNU-HYa GABA / 073 MEA-BST Sox6 Gaba; NT GABA; sAMY
0340 MEA-BST Sox6 Gaba_4,250,11 CNU-HYa GABA,073 MEA-BST Sox6 Gaba,GABA,STR,sAMY,STR 96%; CTXsp 2%; OLF 1%,sAMY 96%; CTXsp 2%; OLF 1%,11 CNU-HYa GABA / 073 MEA-BST Sox6 Gaba; NT GABA; sAMY
0339 MEA-BST Sox6 Gaba_3,250,11 CNU-HYa GABA,073 MEA-BST Sox6 Gaba,GABA,STR,sAMY,STR 86%; PAL 14%; OLF 0%,sAMY 86%; PAL 14%; OLF 0%,11 CNU-HYa GABA / 073 MEA-BST Sox6 Gaba; NT GABA; sAMY
0338 MEA-BST Sox6 Gaba_2,250,11 CNU-HYa GABA,073 MEA-BST Sox6 Gaba,GABA,STR,sAMY,STR 84%; PAL 13%; OLF 3%,sAMY 84%; PAL 13%; OLF 3%,11 CNU-HYa GABA / 073 MEA-BST Sox6 Gaba; NT GABA; sAMY
0337 MEA-BST Sox6 Gaba_1,250,11 CNU-HYa GABA,073 MEA-BST Sox6 Gaba,GABA,STR,sAMY,STR 94%; PAL 4%; OLF 2%,sAMY 94%; PAL 4%; OLF 2%,11 CNU-HYa GABA / 073 MEA-BST Sox6 Gaba; NT GABA; sAMY
0336 LSX Sall3 Lmo1 Gaba_6,250,10 LSX GABA,072 LSX Sall3 Lmo1 Gaba,GABA,STR,LSX,STR 92%; PAL 8%; OLF 0%,LSX 92%; PAL 8%; OLF 0%,10 LSX GABA / 072 LSX Sall3 Lmo1 Gaba; NT GABA; LSX
0323 LSX Prdm12 Slit2 Gaba_7,250,10 LSX GABA,070 LSX Prdm12 Slit2 Gaba,GABA,STR,LSX,STR 99%; PAL 1%,LSX 98%; PAL 1%; STRv 0%,10 LSX GABA / 070 LSX Prdm12 Slit2 Gaba; NT GABA; LSX
0306 LSX Nkx2-1 Gaba_1,250,10 LSX GABA,069 LSX Nkx2-1 Gaba,GABA,STR,LSX,STR 97%; PAL 3%,LSX 97%; PAL 3%,10 LSX GABA / 069 LSX Nkx2-1 Gaba; NT GABA; LSX
0305 LSX Otx2 Gaba_5,250,10 LSX GABA,068 LSX Otx2 Gaba,GABA,STR,LSX,STR 98%; PAL 2%,LSX 98%; PAL 2%,10 LSX GABA / 068 LSX Otx2 Gaba; NT GABA; LSX
0304 LSX Otx2 Gaba_4,250,10 LSX GABA,068 LSX Otx2 Gaba,GABA,STR,LSX,STR 97%; PAL 3%,LSX 97%; PAL 3%,10 LSX GABA / 068 LSX Otx2 Gaba; NT GABA; LSX
0303 LSX Otx2 Gaba_3,250,10 LSX GABA,068 LSX Otx2 Gaba,GABA,STR,LSX,STR 94%; PAL 6%,LSX 94%; PAL 6%,10 LSX GABA / 068 LSX Otx2 Gaba; NT GABA; LSX
0302 LSX Otx2 Gaba_2,250,10 LSX GABA,068 LSX Otx2 Gaba,GABA,STR,LSX,STR 93%; PAL 7%,LSX 93%; PAL 7%,10 LSX GABA / 068 LSX Otx2 Gaba; NT GABA; LSX
0301 LSX Otx2 Gaba_1,250,10 LSX GABA,068 LSX Otx2 Gaba,GABA,STR,LSX,STR 88%; PAL 12%,LSX 88%; PAL 12%,10 LSX GABA / 068 LSX Otx2 Gaba; NT GABA; LSX
0300 LSX Sall3 Pax6 Gaba_2,250,10 LSX GABA,067 LSX Sall3 Pax6 Gaba,GABA,STR,LSX,STR 97%; PAL 3%,LSX 97%; PAL 3%,10 LSX GABA / 067 LSX Sall3 Pax6 Gaba; NT GABA; LSX
0299 LSX Sall3 Pax6 Gaba_1,250,10 LSX GABA,067 LSX Sall3 Pax6 Gaba,GABA,STR,LSX,STR 87%; PAL 13%,LSX 86%; PAL 13%; STRv 1%,10 LSX GABA / 067 LSX Sall3 Pax6 Gaba; NT GABA; LSX
0295 NDB-SI-ant Prdm12 Gaba_1,250,11 CNU-HYa GABA,066 NDB-SI-ant Prdm12 Gaba,GABA,PAL,PAL,PAL 57%; STR 33%; OLF 8%,PAL 57%; LSX 18%; sAMY 10%,11 CNU-HYa GABA / 066 NDB-SI-ant Prdm12 Gaba; NT GABA; PAL
0326 LSX Prdm12 Zeb2 Gaba_1,250,10 LSX GABA,071 LSX Prdm12 Zeb2 Gaba,GABA,STR,LSX,STR 100%; PAL 0%,LSX 100%; PAL 0%,10 LSX GABA / 071 LSX Prdm12 Zeb2 Gaba; NT GABA; LSX
0324 LSX Prdm12 Slit2 Gaba_8,250,10 LSX GABA,070 LSX Prdm12 Slit2 Gaba,GABA,STR,LSX,STR 92%; PAL 8%,LSX 92%; PAL 8%,10 LSX GABA / 070 LSX Prdm12 Slit2 Gaba; NT GABA; LSX
0307 LSX Nkx2-1 Gaba_2,250,10 LSX GABA,069 LSX Nkx2-1 Gaba,GABA,STR,LSX,STR 99%; PAL 1%,LSX 99%; PAL 1%,10 LSX GABA / 069 LSX Nkx2-1 Gaba; NT GABA; LSX
0104 L6b EPd Glut_2,250,02 NP-CT-L6b Glut,027 L6b EPd Glut,Glut,CTXsp,CTXsp,CTXsp 98%; Isocortex-1 1%; HPF 0%,CTXsp 98%; AI 1%; ENT 0%,02 NP-CT-L6b Glut / 027 L6b EPd Glut; NT Glut; CTXsp
0075 CA3 Glut_1,250,01 IT-ET Glut,017 CA3 Glut,Glut,HPF,HIP,HPF 100%,HIP 98%; RHP 2%,01 IT-ET Glut / 017 CA3 Glut; NT Glut; HIP
0074 CA1-ProS Glut_6,250,01 IT-ET Glut,016 CA1-ProS Glut,Glut,HPF,RHP,HPF 100%,RHP 93%; HIP 7%,01 IT-ET Glut / 016 CA1-ProS Glut; NT Glut; RHP
0073 CA1-ProS Glut_5,250,01 IT-ET Glut,016 CA1-ProS Glut,Glut,HPF,RHP,HPF 99%; CTXsp 1%,RHP 58%; HIP 41%; CTXsp 1%,01 IT-ET Glut / 016 CA1-ProS Glut; NT Glut; RHP
0072 CA1-ProS Glut_4,250,01 IT-ET Glut,016 CA1-ProS Glut,Glut,HPF,HIP,HPF 100%,HIP 82%; RHP 18%,01 IT-ET Glut / 016 CA1-ProS Glut; NT Glut; HIP
0071 CA1-ProS Glut_3,250,01 IT-ET Glut,016 CA1-ProS Glut,Glut,HPF,RHP,HPF 100%,RHP 61%; HIP 37%; ENT 2%,01 IT-ET Glut / 016 CA1-ProS Glut; NT Glut; RHP
0070 CA1-ProS Glut_2,250,01 IT-ET Glut,016 CA1-ProS Glut,Glut,HPF,HIP,HPF 100%,HIP 60%; RHP 40%,01 IT-ET Glut / 016 CA1-ProS Glut; NT Glut; HIP
0069 CA1-ProS Glut_1,250,01 IT-ET Glut,016 CA1-ProS Glut,Glut,HPF,HIP,HPF 100%; Isocortex-1 0%,HIP 99%; RHP 1%; VIS-PTLp 0%,01 IT-ET Glut / 016 CA1-ProS Glut; NT Glut; HIP
