region,threshold_label,clade,n_tips,au,bp
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,11,0.6093865620725406,0.7628526195615108
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,17,1,1
ALL,0.5,Glut-DACH2-5|Glut-DACH2-LMANsh,2,0.5674963908660727,0.5729999634285011
ALL,0.5,Glut-CACNA1H-1|Glut-CACNA1H-2,2,0.9908389131859884,0.9973549683306766
ALL,0.5,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.9973017706206673,0.9983449680670163
ALL,0.5,Glut-DACH2-6|Glut-DACH2-8,2,0.8440720693787898,0.8172220310159977
ALL,0.5,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3,3,0.9390040288767807,0.8230033529459311
ALL,0.5,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.9840313389409566,0.9698443719529514
ALL,0.5,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.9879913050035134,0.9866753043573784
ALL,0.5,Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,3,0.980458225816105,0.985307867803143
ALL,0.5,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,4,0.9079050235368301,0.7087772028919179
ALL,0.5,Glut-DACH2-4|Glut-DACH2-HVCx,2,0.7015016423183775,0.535225856217455
ALL,0.5,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,0.5882256054178746,0.49532429625538943
ALL,0.5,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-HVCx,3,0.6860753591049277,0.4596336708136407
ALL,0.5,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.9885526475528587,0.9837501055530029
ALL,0.5,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,0.6801384030069251,0.46306964557900027
ALL,0.5,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,11,0.9885526475528587,0.9837501055530029
ALL,0.5,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,17,1,1
ALL,0.25,Glut-DACH2-5|Glut-DACH2-LMANsh,2,0.5750388676643826,0.5705956276011778
ALL,0.25,Glut-CACNA1H-1|Glut-CACNA1H-2,2,1,1
ALL,0.25,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.9948091016558976,0.997077332070179
ALL,0.25,Glut-DACH2-6|Glut-DACH2-8,2,0.8531452761825618,0.825268398863933
ALL,0.25,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3,3,0.9333024959082652,0.8351477320874918
ALL,0.25,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.9948652866121437,0.9937838601418353
ALL,0.25,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.991670619550251,0.9828578078398076
ALL,0.25,Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,3,0.9905654689962511,0.9873520347214992
ALL,0.25,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,4,0.86735925252552315,0.6853580404903707
ALL,0.25,Glut-CACNA1H-4|Glut-DACH2-4,2,0.642103890247248,0.17924210604242335
ALL,0.25,Glut-CACNA1H-4|Glut-DACH2-4|Glut-DACH2-HVCx,3,0.6648259476961662,0.1662048231016718
ALL,0.25,Glut-CACNA1H-4|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-HVCx,4,0.8277058283247085,0.4556689406564637
ALL,0.25,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.9934267592254499,0.9948738764193483
ALL,0.25,Glut-CACNA1H-4|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,7,0.7757496717466863,0.39986722752226067
ALL,0.25,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,11,0.9934267592254499,0.9948738764193483
ALL,0.25,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,17,1,1
ALL,0.1,Glut-DACH2-5|Glut-DACH2-LMANsh,2,0.6681526586823942,0.681801740488609
ALL,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2,2,0.9084212005735414,0.9985888335373544
