section_id,first_type,HVC,surround,log2_enrich
OR52YW26_2_2,GABA-7,0.006060606060606061,0.004326328800988875,0.47696166276156743
OR52YW26_2_2,Glut-Arco-4,0.0015151515151515152,6.180469715698393e-4,1.1695193813101232
OR52YW26_2_2,Glut-HVC-1,0.11515151515151516,6.180469715698393e-4,7.326491779709473
OR52YW26_2_2,Glut-HVC-1a,0.015151515151515152,0.0012360939431396785,3.5128592184204797
OR52YW26_2_2,Glut-HVC-2,0.05757575757575758,0.0012360939431396785,5.431871694005942
OR52YW26_2_2,Glut-NC-4,0.0015151515151515152,0.0030902348578491965,-0.9819931273207217
OR52YW26_2_2,Glut-NR-1,0.0015151515151515152,0.015451174289245983,-3.2672821106081273
OR52YW26_2_2,Glut-NR-3,0.0015151515151515152,0.009270704573547589,-2.536488018191579
OR52YW26_2_2,Glut-Pre-1,0.012121212121212121,0.015451174289245983,-0.347636142961427
OR52YW26_2_2,Glut-Pre-2,0.03636363636363636,0.04140914709517923,-0.1869708462194293
OR52YW26_2_2,Micro,0.03939393939393939,0.0315203955500618,0.32077586422247784
OR52YW26_2_2,OPC,0.02878787878787879,0.042027194066749075,-0.5442875546993414
OR52YW26_2_2,Oligo-1,0.0015151515151515152,0.001854140914709518,-0.2748649964707673
OR52YW26_2_2,Oligo-2,0.0015151515151515152,0.007416563658838072,-2.2184037484148647
OR52YW26_2_2,Oligo-3,0.004545454545454545,0.0012360939431396785,1.7977983175823553
OR52YW26_2_2,GABA-1-2,0,0.00865265760197775,-6.451649229209771
OR52YW26_2_2,GABA-2-1,0,0.005562422744128554,-5.823347556616134
OR52YW26_2_2,GABA-8,0,0.006180469715698393,-5.972800557056356
OR52YW26_2_2,Glut-Arco-5,0,6.180469715698393e-4,-2.8440782220905994
OR52YW26_2_2,Glut-LMAN-1,0,0.002472187886279357,-4.68492412351874
OR52YW26_2_2,Glut-NC-1,0,0.05315203955500618,-9.05669297144267
OR52YW26_2_2,Glut-NC-3,0,0.029666254635352288,-8.217533894423088
OR52YW26_2_2,Glut-NC/Glut-Nido,0,0.005562422744128554,-5.823347556616134
OR52YW26_2_2,Glut-NR-4,0,0.001854140914709518,-4.288462599871489
OR52YW26_2_2,Glut-Pre-3,0,0.012978986402966625,-7.031106928770105
OR52YW26_2_7,Astro-1,0.04504504504504504,4.926108374384236e-4,6.251338831250246
OR52YW26_2_7,Astro-2,0.24324324324324326,0.31231527093596056,-0.36047225771626545
OR52YW26_2_7,Astro-3,0.009009009009009009,0.018226600985221674,-1.008573222191114
OR52YW26_2_7,Endo,0.2747747747747748,0.21428571428571427,0.3585657427819595
OR52YW26_2_7,GABA-1-1,0.02702702702702703,0.060098522167487685,-1.1499971254029426
OR52YW26_2_7,GABA-2-3,0.0045045045045045045,9.852216748768472e-4,2.085056147134397
OR52YW26_2_7,GABA-3,0.0045045045045045045,0.01083743842364532,-1.2481570749071553
OR52YW26_2_7,GABA-5-1,0.0045045045045045045,0.003940886699507389,0.18837401371163895
OR52YW26_2_7,GABA-6,0.009009009009009009,0.007389162561576354,0.282489702810069
OR52YW26_2_7,GABA-8,0.009009009009009009,0.0064039408866995075,0.4859799632590712
OR52YW26_2_7,Glut-HVC-1,0.15315315315315314,9.852216748768472e-4,7.141783179531403
OR52YW26_2_7,Glut-HVC-1a,0.04054054054054054,0.013793103448275862,1.5485506855933815
OR52YW26_2_7,Glut-HVC-2,0.018018018018018018,4.926108374384236e-4,4.934196323249122
OR52YW26_2_7,Glut-LMAN-1,0.0045045045045045045,0,5.524974009650103
OR52YW26_2_7,Glut-NC-4,0.0045045045045045045,0.019704433497536946,-2.1047056139102884
