,bf_Glut-CACNA1H-1,bf_Glut-CACNA1H-2,bf_Glut-CACNA1H-3,bf_Glut-CACNA1H-4,bf_Glut-CACNA1H-RA,bf_Glut-DACH2-1,bf_Glut-DACH2-2,bf_Glut-DACH2-3,bf_Glut-DACH2-4,bf_Glut-DACH2-5,bf_Glut-DACH2-6,bf_Glut-DACH2-7,bf_Glut-DACH2-8,bf_Glut-DACH2-HVCra,bf_Glut-DACH2-HVCra-Pre,bf_Glut-DACH2-HVCx,bf_Glut-DACH2-LMANco,bf_Glut-DACH2-LMANsh,gg_Ex_BCL6,gg_Ex_CACNA1H_CPA6,gg_Ex_CACNA1H_KIT,gg_Ex_CACNA1H_LHX9,gg_Ex_CACNA1H_MCTP2,gg_Ex_CACNA1H_PROX1,gg_Ex_DACH2_ADAMTS5,gg_Ex_DACH2_CEMIP,gg_Ex_DACH2_GRIK4,gg_Ex_DACH2_ITGA9,gg_Ex_DACH2_LHX2,gg_Ex_DACH2_LUZP2,gg_Ex_DACH2_MGAT4C,gg_Ex_DACH2_NR4A3,gg_Ex_DACH2_RORB,gg_Ex_DACH2_SLIT2,gg_Ex_DACH2_TAC1,gg_Ex_DACH2_ZMAT4,gg_Ex_KIAA1217,gg_Ex_KIAA1217_BCL6,gg_Ex_Pre_KCNH7,gg_Ex_Pre_SATB2,gg_Ex_SATB2_FOXP2,gg_Ex_SATB2_OVOA,gg_Ex_SATB2_SOX6,gg_Ex_SATB2_ZNF385B,gg_Ex_TSHZ2_NR4A2
gg_Ex_CACNA1H_KIT,0.4063630409771399,0.38398583799563485,0.07565311433936985,0.018333236522021786,0.0089354405777313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_LHX9,0.46255405731988175,0.32399646615914973,0.2372289682070976,0.6014977583042258,0.01704715297350848,0.0001055371789591543,0.0,0.0,0.0,0.0,0.0,0.00015942488517282073,0.0,0.00019903553295569327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_MCTP2,0.20480161110465414,0.14090012227556445,0.007811563769565868,0.04997976668985858,0.002558625072664115,0.03668508090860735,0.0035221980366959573,0.02124513480738522,0.00025153167980437034,0.006662924601174664,0.00028126279918286144,0.0003749451726201869,0.00349340836734224,0.0004242653712733916,0.001376398284592563,0.0,0.0001952205031306654,0.1061926972907539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_PROX1,0.17741645190298017,0.3819357618011995,0.013843752098032902,0.0308242126760506,0.011011930315319862,0.0042233144705015385,0.00013844448043488276,0.002354874255029409,0.0010263021873289258,5.2800154516262994e-05,0.0012095405870997727,0.0011441016992333032,0.001316557401877164,0.0,0.00020955604259782233,0.0,0.00021736780824046267,0.0011196992067698172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_ADAMTS5,0.00029155638747866693,0.0005450361614638764,0.00019561464960333452,0.0001229671004545964,9.142825976891351e-05,0.2485039662014029,0.177252525646808,0.003962654882478683,0.02830388066752122,0.5359380565000827,0.03018995397011239,0.3210972848660884,0.015526917532440765,0.002021437236427376,0.026912811221085204,0.0008236325468108345,0.0068545295674242775,0.3981066794552818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_CEMIP,0.0025326239708054086,0.0024781635896844083,0.0009408585283230854,0.0009323694980226966,0.0,0.007867903471752747,2.0664028888349216e-05,0.06419416220263005,0.006647831099588486,0.0,0.5150800435498578,0.0005731571500701665,0.07171740773372112,0.00010437466570428595,8.509763222395395e-05,0.00043037091915274476,0.005074359228942755,0.00034962216639556216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_GRIK4,0.0029694820082571617,0.002480878168599393,0.0005781151920109916,0.029653896457126728,0.00014073901170066452,0.4947406816918348,0.10267868044292042,0.006030516895970789,0.0040514840316678135,0.030160509385980944,0.0001806929177418411,0.017986840745073528,0.0004373011279720124,0.0036876252139754185,0.049094151465439266,8.388440967954343e-06,0.0002669056796449899,0.02586904490352233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_ITGA9,0.024402143982697213,0.004430847262120964,0.002421370149433745,0.014033046383858114,0.004973985899084818,0.10899459245093676,0.015054966492167494,0.20164670779692445,0.2747496530716538,0.00535047604622995,0.0707493164747042,0.014678055499342108,0.17754890012686536,0.0030528825919660303,0.006258164207041729,0.011882713094622714,0.0017585470792409862,0.01796828521171254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_LHX2,0.00036738580999531525,0.0013420470909051422,0.0,0.002358238656251746,0.00010351632428947299,0.383368051027387,0.09748583543501503,0.01739723896649017,0.0009584984321980693,0.11172967371130915,7.136089532051743e-05,0.0035849072947173716,5.07854508989153e-05,0.0007056735479591337,0.015043463602131482,1.3400933063128298e-05,0.0,0.14030732711399346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_LUZP2,0.00243705961712926,0.012361745200629083,1.7099684952008516e-05,0.13720617927160098,0.0002664713746433977,0.43541665536877466,0.022198914247494726,0.020547478450956325,0.00010367382020514269,0.001516031292066491,3.8890859452697726e-05,0.0003539288221569907,0.0,0.0012735518116778488,0.006847458244901983,8.323404721341564e-05,0.0,0.00047669900543355315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_MGAT4C,0.0008228167813857823,0.0022846050098522274,0.0004999686178031171,0.003829105077170817,0.0005963847131708411,0.6465309033377247,0.528759333234569,0.024396577452009818,0.04729921838021217,0.19355348405065945,0.002251828250062679,0.29899610610951244,0.0004006195186505187,0.01577734575546292,0.4240855810254972,0.003217075539617606,0.005413992793948053,0.06308358007588422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_NR4A3,0.004222811165278947,0.0117122388346469,0.0018044042496733058,0.0009804614930920596,8.314819030742071e-05,0.6554074769006677,0.026263298811619894,0.017220148669294565,0.036147131791990986,0.058555479588719116,0.004738198489224839,0.03759580680625131,0.0016551648037663712,0.002842088215917468,0.01925845459675686,0.0,0.002895954409154451,0.024990142908468144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_RORB,0.0005621280648213321,0.0004199638370657715,0.0005570416372040668,6.930354575251914e-05,4.828668746399135e-05,0.008717441926149568,0.0,0.283686377535746,0.000318597750096809,1.0685988850937098e-05,0.028131415498077676,0.0006431096437498444,0.2406612985773975,0.00040841667755151,5.1557143564527075e-05,0.0,0.13462425304052264,0.038792751819426916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_SLIT2,0.0031379627856310695,0.003628960356102994,0.0005516985795503404,0.10823576677928382,2.406425641494025e-05,0.07525909435626893,9.874634589501195e-05,0.624099601549905,0.025471385819539127,0.00019635103156595175,0.008867264726803072,0.00035735230740924386,0.0032732238966615194,4.1371314677795676e-05,1.618200224321567e-05,0.0013085208966943387,0.001290658199739068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_TAC1,6.810482987038163e-05,2.482767386900802e-05,0.0,0.0,0.0002974356773119428,0.0022281087008142993,1.846828961362909e-05,0.17205539030996703,0.0010592053874102002,8.537549358531738e-05,0.07755185150803878,0.0006865517252668599,0.3726894531309156,0.0004394310822498533,0.00021538791302901984,0.0065795366845173885,0.002448162500111188,9.117501047631664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_ZMAT4,0.0004467401556053789,0.0003131439267663594,0.00011247146385140537,0.0003469975224953056,9.458865950359999e-05,0.006827836371237549,0.0003225341969161893,0.267996020794733,0.18070430837017704,0.00038711129935637756,0.5012548336244289,0.024166013792395788,0.8344701666927629,0.00016807198397913176,0.0006123506953238685,0.000949388979451261,0.4113928196740364,0.017539454447403572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_KIAA1217,0.005979925884940852,0.0059663307314607745,0.0013440553304856291,6.115904310468662e-05,0.7516968354362856,6.465881690249636e-05,0.0,0.0,0.0010744431032632682,0.0,0.0007596990077717053,1.61842849898844e-05,0.0010761192039284604,0.000420241562628174,0.0,0.04377149375541734,0.030887818840565406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
