"","Astrocytes","Ex_CACNA1H_PROX1","Ex_DACH2_ADAMTS5","Vascular","Ex_DACH2_LUZP2","Microglia","Oligodendrocytes","Ex_BCL6","Ex_SATB2_OVOA","Inh_LGE_like_FOXP1_DGKH","Inh_LGE_like_FOXP2","Ex_DACH2_NR4A3","Inh_LGE_like_FOXP1_SGCG","Ex_DACH2_SLIT2","Inh_OB_CPA6","Inh_LGE_like_Pre","Ex_Pre_KCNH7","Ex_SATB2_SOX6","OPCs","Inh_MGE_like_SST_SLC24A2","Inh_MGE_like_ST18","Inh_MGE_like_SST_PVALB","Inh_MGE_like_SST_ABI3BP","Ex_DACH2_LHX2","Inh_MGE_like_ST18_PVALB","Inh_MGE_like_ANO1","Inh_CGE_like_MAN1A1","Inh_CGE_like_CACNA1B","Inh_CGE_like_CACNA2D3","Ex_DACH2_MGAT4C","Ex_DACH2_GRIK4","Inh_MGE_like_LHX8","Ex_CACNA1H_KIT","Ex_DACH2_CEMIP","Ex_SATB2_ZNF385B","Ex_CACNA1H_LHX9","Ex_CACNA1H_MCTP2","Ex_TSHZ2_NR4A2","Ex_CACNA1H_CPA6","Ex_KIAA1217_BCL6","Ex_DACH2_ITGA9","Ex_KIAA1217","Ex_SATB2_FOXP2","Ex_Pre_SATB2","Ex_DACH2_TAC1","Ex_DACH2_ZMAT4","Ex_TCF7L2","Ex_DACH2_RORB","Inh_OB_FGFRL1","COPs+NFOLs"
"Glut-NC-4",0,0,0.000937044972454686,0,0.00140333547998923,0.00746732011363806,0,0,0.00204955062094247,0,0,0.00982128648944527,0,0.185254673149035,0,0,0,0.00514049520083084,0,0.000716478047155576,0,0,0,0,0,0,0,0,0,0.0052211744108715,0.00134987500128969,0,0.00246932832266166,0.00396787025465677,0.00105267172925013,0,0,0,0,0.0119572135117214,0.119825665195775,0.0227630974620469,0.0626971469010033,0,0.000871618365832892,0.0133829311920918,0,0.0029581509814646,0,0
"Glut-Nido-1",0,0,0.0550981844704238,0,0.0792565437874695,0.00393186584091721,0,0.00039590873190895,0.00803174085915892,0.000583362426319142,0,0.0598619133809997,0,0.00182880553092605,0.000724120315039089,0,0.00176933526871378,0.000472167199980788,0,0,0,0,0,0.077560737516679,0,0,0,0,0,0.157343122976933,0.0146423675146777,0,0,0,0,0,0,0,0,0,0.00590798307256006,0,0,0,0.00241499046906984,0.00180001514520686,0,0.00278562281756083,0,0
"Glut-Nido-2",0,0.00130041859209037,0.060808731021803,0,0.00710801123016551,0.00621292035417609,0,0.00500036124520689,0.00544225271429466,0.0369030270556604,0.0894771989946375,0.0158359382241343,0.0494119633919285,0.0211352443072176,0.00622509892298147,0.00194885082904061,0.00586201593348128,0.00082020355368608,0,0.00492449474285485,0,0,0,0.00967245957707847,0,0,0,0.00137111120542795,0,0.0677994318521477,0.0296428865364356,0.0309715879247832,0.00155747466761846,0.0033406252899832,0.0219796469291243,0.000921336025294494,0.00172136110870596,0,0,0,0.00294401187433949,0,0.00421815787842625,0,0.0143148671847192,0.00403198047593193,0,0,0,0
"Glut-Nido-3",0.00207299828017575,0,0.00155544482510185,0.0344103853274387,0,0.00198947011245357,0.00182839610102943,0,0.0934178009279887,0.00355684425200781,0,0.00451006283340978,0,0,0,0.0144336253350674,0.00428684725054275,0.0263106529673616,0,0.00571818483058386,0.00788687542025395,0.000984543234910919,0.00283328497253683,0.00321914823616396,0,0.0180814059455424,0,0.00153962838289586,0,0,0,0,0,0,0,0,0,0,0,0,0.00147790870527143,0,0.00415467294151919,0,0,0,0,0.0344185733779396,0,0
"Glut-NR-1",0,0,0.159086465957369,0.0016025641025641,0.00146588761411298,0.00463123690279639,0,0,0.0123425986135717,0,0,0.0405452935306575,0,0,0,0,0,0,0,0,0,0,0,0.191250953072487,0,0,0,0,0,0.0716725019248867,0.0089991007872898,0,0,0,0,0,0.000810914212111773,0,0,0,0.000322232601003322,0,0,0,0,0,0,0,0,0
"Glut-NR-2",0,0,0.00130707994594504,0,0,0.00159886867732409,0,0,0,0,0,0.00124141361896849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549707235910792,0,0,0,0,0,0.00102229694935023,0.0052941600035382,0.00897477636747115,0.00563002746623165,0,0.0079037695402603,0.122691452407935,0,0,0,0
"Glut-NR-3",0,0,0.117809317395819,0,0.000410092200278225,0.00425328149731967,0,0.00141716040600912,0.0240182394998823,0,0,0.0447738596959299,0,0.000846289001874544,0,0.000699892794713816,0,0.00447193632052681,0,0,0,0,0,0.00393019203623594,0,0,0,0,0,0.120664015199768,0.0283931267597443,0,0,0.00870896299557651,0,0,0,0,0,0.000334249683222687,0.0364477494266559,0.00212928439578584,0.000685150885423355,0,0.00550279657689199,0.0153812894604603,0,0,0,0
"Glut-NR-4",0,0,0.000607221875477428,0,0,0.00409533091876059,0,0.00111146495577947,0,0,0,0,0,0,0,0,0,0,0.0023265126003792,0,0,0,0,0,0,0,0,0,0,0,0.000582851694785324,0,0,0.136400958883706,0,0,0.0192348960678734,0,0,0,0.00107626410487011,0,0,0,0.00602694310705982,0.447338155727691,0,0.00208350829309848,0,0
"Glut-NR-5",0,0,0,0,0.000972681642429576,0.00248255965004965,0,0,0.000869424714362533,0,0,0,0,0,0,0,0,0.306766067948312,0,0,0,0,0,0,0,0,0,0,0,0,0.00356231511363861,0,0,0,0.124911693783573,0,0,0,0,0,0,0,0.312610482282893,0,0,0,0,0,0,0
"Glut-Pre-1",0.0401196209531487,0.0151282045335509,0.00112639415382327,0.391506876977095,0.0119218144126256,0.00807913932314451,0,0,0,0,0,0,0,0,0.00123731331629807,0.00844623256800527,0.0409347025044132,0,0,0,0,0,0.00143870322819511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217243016780529,0
"Glut-Pre-2",0,0,0.00360983353041305,0.00195914372630757,0.00045403914274718,0.00473790054719096,0,0,0,0,0,0.000526932661451871,0.000610768677661614,0,0,0,0.603523752489946,0.000451087816037001,0,0,0,0,0,0,0,0,0,0,0,0.00187623154621924,0.156822152726184,0,0,0,0,0.0006015849314176,0,0,0,0,0,0,0,0.00928543299530948,0,0,0,0,0,0
"Glut-Pre-3",0,0,0.00068519668930876,0.0016025641025641,0.00110213281701652,0.00156338543260858,0,0,0,0,0,0.0652065575552844,0,0.000381054711626133,0,0,0.0174554825453221,0,0,0,0,0,0,0.000523197620656794,0,0,0,0,0,0,0.685670471392764,0,0,0,0.00134346648249537,0.000546512211496845,0.00113670983151789,0,0,0,0,0,0.00209988801825713,0.000729688779125425,0,0.00107166702264415,0,0,0,0
"Glut-RA",0,0,0,0,0.000348401573205224,0,0,0.0414157422400486,0.00181434089670654,0.00303772769805801,0,0,0,0,0,0,0,0.000285582536106901,0,0,0,0,0,0.00102183087403905,0,0,0,0,0,0,0.000316524397128222,0,0.00109287878071099,0,0.0149203421012641,0.0254368513424839,0.00130256117018583,0.0112173040142063,0.000994070457005013,0.0195185247978544,0,0.0615920208401724,0.00525952530448555,0,0.000303331527129489,0,0.148640684735498,0,0,0
"Micro",0,0,0,0.0123456790123457,0,0.960963432034826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligo-1",0,0,0,0,0,0,0.917806491351964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligo-2",0,0,0.00557881248645265,0.0156558441350447,0,0.00513202353313873,0.820376044782547,0,0,0,0,0,0,0,0,0,0,0.000448888445710727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligo-3",0.471826761550463,0,0,0.010752688172043,0,0.0300008583019909,0.230050116977369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPC",0.0016025641025641,0,0,0.0016025641025641,0,0.0108413897669005,0.00608377805337848,0,0,0,0,0,0,0,0,0,0,0,0.920031859742037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00650425655155471
