gene,hvcra,int
GAS7,-1.3600332744637795,-0.14179666355949572
CSRNP3,-1.342038097059409,-0.5241235238745069
RAB30,1.776153873037134,0.7832297687701504
SLC9A7,1.8526358561840384,1.1568592740332546
ADK,1.349997031345829,0.3399315401845546
HIVEP3,-1.2018563674273575,-0.34251420839169905
SH3PXD2A,0.8534748843275187,0.12431450969214236
RAPGEF2,-0.7890946190127592,-0.07946444205072867
LOC110470979,-5.856303734379777,-2.7320329808698
KCTD4,-4.866346852988774,-0.9265006706162238
GABRB1,-1.1698970752775752,-0.7340933982426138
LOC110469115,1.616888781277345,0.370645415875422
NAALADL2,1.2405874774397525,0.9670335233943516
LRP8,-2.289022069712656,-0.11811059108388919
SGCD,-1.5563846320664347,-1.3747807034905057
PPP2R2C,0.6321713413964198,0.7277103763630814
PTPRA,-1.2654905117227913,-0.21160908610421172
TRHDE,-1.225275934202461,-0.4373031589931631
ACVR2B,-4.287937744189316,-0.21710624964079872
STXBP5L,0.655794661019026,0.47844630204198046
PCDH19,-1.5344139881332082,-0.8930075477256507
LNX1,-3.399109926573307,-0.4837860633348263
MAN1A1,-2.5200707271538167,-1.6724539887667609
ABLIM1,1.757319959435236,1.6722355666743636
SGTB,-1.0532434186177233,-0.6915972144454187
GRM3,-2.8592950168963274,-0.19692836770316835
AGPAT3,1.3173662494057716,0.4164125017766336
LHFPL6,-2.1739812973005677,0.17237560537808225
RPH3A,1.4460003290001016,0.2760879781056209
LRMP,-2.82136994427039,-0.3238106739544937
FUT9,1.173618467157423,0.3505067414866978
MAPKBP1,-1.3502106769783535,-0.3547699038133286
NEURL1,-1.3437150961964446,-0.2723558737249098
NPTXR,-1.6780357169967275,-1.1307235876960862
LOC116184565,1.2334115055430257,0.6828398874708212
FKBP5,1.4961462357385904,0.6831057367263098
CSMD3,0.5369636308875325,0.12921348857285198
HECW1,-0.8540081392090229,-0.2758408027824283
STK32C,-3.2927622933362697,-1.2333426841762596
ITGA6,-4.380797352884409,-0.8605979230432919
CNGB3,-2.1041724407154785,-0.8485180788762042
LOC116183448,-0.6578072366947941,-0.15325824284928324
LOC110475701,-3.0785588411926468,-0.8571893995775874
TRPC5,-2.220882520043659,-0.805902402257039
SHOC2,1.2245775802600145,0.9048594607950193
CDC42BPB,-1.1130470973309856,-0.23135825173825378
EPHA5,-0.6325430075298777,0.026888549407583895
MAML3,-1.4199806159951536,-0.18515148733747727
ANO6,-2.5993906066993664,-0.6741532590943322
BANK1,-2.5681248553240223,-0.8125764081803482
LOC110479605,2.093271885784542,1.4744440890802828
ITPR2,-1.8889618537229902,-0.485975072146949
TLL1,-1.9225798474329883,0.20688046217955258
IMMP2L,1.1823730285571106,0.6486178191562088
TSPOAP1,1.151306947828926,0.22798824282064356
GALNT17,-0.8365272705331381,-0.32395232675184327
MCF2L,0.8852198012347721,0.47196403714161794
ELAVL2,1.1166122587312401,0.9129892505174666
KHDRBS3,-0.7809643208512878,-0.018978388190064033
LUZP2,-1.426073890199284,-0.19612505879476955
CDK17,-0.985783962047611,-0.44118140958927643
MSRA,-0.6618196102957272,-0.22661004700507892
FAM149A,-1.7491208738837707,-1.0831206161790867
STMN2,1.4148503309213454,0.19640118793890893
DGKI,-0.633636855499232,-0.08409706201906841
SYT16,-2.5404691176430823,-0.6312112551039553
DAB2IP,-1.6371909591478357,-0.38132332285464515
